wals code	name	value	description	latitude	longitude	genus	family	area
cmn	Comanche	1	Small	33.5	-101.5	Northern Uto-Aztecan	Uto-Aztecan	Phonology
cre	Cree (Plains)	1	Small	54.0	-110.0	Algonquian	Algic	Phonology
cub	Cubeo	1	Small	1.33333333333	-70.5	Tucanoan	Tucanoan	Phonology
dad	Dadibi	1	Small	-6.55	144.583333333	Teberan	Teberan-Pawaian	Phonology
dag	Daga	1	Small	-10.0	149.333333333	Dagan	Trans-New Guinea	Phonology
dni	Dani (Lower Grand Valley)	1	Small	-4.33333333333	138.833333333	Dani	Trans-New Guinea	Phonology
der	Dla (Proper)	1	Small	-3.58333333333	141.0	Senagi	Senagi	Phonology
dum	Dumo	1	Small	-2.68333333333	141.3	Western Skou	Skou	Phonology
dyi	Dyirbal	1	Small	-17.8333333333	145.583333333	Northern Pama-Nyungan	Pama-Nyungan	Phonology
efi	Efik	1	Small	4.91666666667	8.5	Lower Cross	Niger-Congo	Phonology
eka	Ekari	1	Small	-3.83333333333	135.5	Paniai Lakes	Trans-New Guinea	Phonology
epe	Epena Pedee	2	Moderately small	3.0	-77.0	Choco	Choco	Phonology
evn	Even	2	Moderately small	68.0	130.0	Tungusic	Altaic	Phonology
eve	Evenki	2	Moderately small	56.0	125.0	Tungusic	Altaic	Phonology
fas	Fasu	1	Small	-6.58333333333	143.333333333	Fasu	Trans-New Guinea	Phonology
fef	Fe'fe'	2	Moderately small	5.25	10.1666666667	Wide Grassfields	Niger-Congo	Phonology
fin	Finnish	2	Moderately small	62.0	25.0	Finnic	Uralic	Phonology
fur	Fur	2	Moderately small	13.5	25.0	Fur	Fur	Phonology
fuz	Fuzhou	1	Small	26.0	119.5	Chinese	Sino-Tibetan	Phonology
gds	Gadsup	1	Small	-6.25	146.0	Gauwa	Trans-New Guinea	Phonology
gar	Garo	2	Moderately small	25.6666666667	90.5	Brahmaputran	Sino-Tibetan	Phonology
goa	Goajiro	1	Small	12.0	-72.0	Guajiro-Paraujano	Arawakan	Phonology
ghb	Guahibo	2	Moderately small	5.0	-69.0	Guahiban	Guahiban	Phonology
gmb	Guambiano	2	Moderately small	2.5	-76.6666666667	Barbacoan	Barbacoan	Phonology
gua	Guaraní	2	Moderately small	-26.0	-56.0	Maweti-Guarani	Tupian	Phonology
hak	Hakka	2	Moderately small	25.0	116.0	Chinese	Sino-Tibetan	Phonology
ham	Hamtai	1	Small	-7.5	146.25	Nuclear Angan	Trans-New Guinea	Phonology
