язык,семья,ареал,p,t,k,b,d,g,сколько взрывных фонем,литература,комментарии
Bella Coola,Salishan,North America,1,1,1,0,0,0,3,Bella coola phonology - ScienceDirect,
Bésɨro,Macro-Ge,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Besiro.html,
Biak,Austronesian,Papunesia,1,1,1,1,1,0,5,,
Bilinarra,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Biloxi,Siouan,North America,1,1,1,0,1,1,5,"Biloxi Pronunciation Guide, Alphabet and Phonology",
Bininj Gun-Wok,Gunwinyguan,Australia,0,0,0,1,1,1,3,d̪,
Biri,Pama-Nyungan,Australia,1,1,1,0,0,0,3,not t -- but t̪,
Blackfoot,Algic,North America,1,1,1,0,0,0,3,A Sketch of Blackfoot Historical Phonology on JSTOR,
Bolivian Quechua,Quechua,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/BolivianQ.html,
Bora,Boran,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Bora.html,
Border Kuna,Chibchan,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Kuna.html,
Boruca,Chibchan,North America,0,1,1,1,1,1,5,"Boruca Pronunciation Guide, Alphabet and Phonology (Brunka)",
Bribri,Chibchan,North America,1,1,1,1,1,0,5,"Bribri Pronunciation Guide, Alphabet and Phonology",
Buglere,Chibchan,North America,0,1,1,1,1,1,5,"Buglere Pronunciation Guide, Alphabet and Phonology (Bugle)",
Bularnu,Pama-Nyungan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Bunuba,Bunaban,Australia,1,1,1,0,0,0,3,,
Buol,Austronesian,Papunesia,1,0,1,1,1,1,5,,
Burarra,Maningrida,Australia,1,1,1,0,0,0,3,,
Cabecar,Chibchan,North America,1,1,1,1,1,1,6,"Cabecar Pronunciation Guide, Alphabet and Phonology",
Cabiyarí,Arawak,South America,1,1,1,0,1,0,4,https://linguistics.berkeley.edu/saphon/en/inv/Cabiyari.html,
Cacua,Nilotic,Africa,1,1,1,0,0,0,3,,
Caddo,Caddoan,North America,1,1,1,1,1,0,5,"Caddo Pronunciation Guide, Alphabet and Phonology",
Cahuilla,Uto-Aztecan,North America,1,1,1,0,0,0,3,"Cahuilla Pronunciation Guide, Alphabet and Phonology",
Cajamarca Quechua,Quechua,South America,1,1,1,0,0,0,3,,
Cakchiquel ,Mayan,North America,1,1,1,1,0,0,4,"Kaqchikel Maya Pronunciation Guide, Alphabet and Phonology (Cakchiquel)",
Candoshi-Shapra,Isolate,South America,1,1,1,0,0,0,3,https://linguistics.berkeley.edu/saphon/en/inv/Candoshi.html,есть преназализованные версии этих глухих
Canela,Macro-Ge,South America,1,1,1,0,0,0,3,,
Capanahua,Panoan,South America,1,1,1,0,0,0,3,,
Caquinte,Arawak,South America,1,1,1,0,0,1,4,,
Carib,Carib,South America,1,1,1,0,0,0,3,,
Carijona,Carib,South America,0,1,1,1,1,1,5,,
Carrier,Na-Dene,North America,1,1,1,0,1,1,5,Carrier language and syllabary,
Cashinahua,Panoan,South America,1,1,1,1,1,0,5,,
Catawba,Siouan,North America,1,1,1,1,1,1,6,"enwiki-Catawba_language-20200725.pdf : Wikipedia : Free Download, Borrow, and Streaming : Internet Archive",
Cavineña,Tacanan,South America,1,1,1,1,1,0,5,,
Cayubaba,Isolate,South America,1,1,1,1,1,0,5,,
Cayuga,Iroquoian,North America,0,1,1,0,0,0,2,,
Central Sama,Austronesian,Papunesia,1,0,1,1,1,1,5,,
Chácobo,Panoan,South America,1,1,1,0,0,0,3,,
Chamicuro,Arawak,South America,1,1,1,0,0,0,3,,
Chamorro,Austronesian,Papunesia,0,1,1,1,1,1,5,,
Chasta Costa,Na-Dene,North America,0,1,1,1,1,1,5,"Notes on Chasta Costa phonology and morphology : Sapir, Edward, 1884-1939 : Free Download, Borrow, and Streaming : Internet Archive","not t -- but t', t!; not k -- but k'w"
Chatino,Oto-Manguean,North America,1,1,1,1,1,0,5,Chatino Formulas and Phonemes on JSTOR,
Chemakuma,Chemakuam,North America,1,1,0,0,0,0,2,ia903209.us.archive.org/32/items/enwiki-Chemakum_language-20200727.pdf/enwiki-Chemakum_language-20200727.pdf,not k -- but k(w)
Chemehuevi,Uto-Aztecan,North America,1,1,1,0,0,0,3,Chemehuevi Phonology on JSTOR,
Cherokee,Iroquoian,North America,0,1,1,0,0,0,2,,
Cheyenne,Algic,North America,1,1,1,0,0,0,3,,
Chichimeca,Oto-Manguean,North America,1,1,1,1,1,1,6,enwiki-Chichimeca_Jonaz_language-20200725.pdf,
Chickasaw,Muskogean,North America,1,1,1,1,0,0,4,"Chickasaw Pronunciation Guide, Alphabet and Phonology",
Chicomuceltec ,Mayan,North America,1,1,1,1,0,0,4,"Chicomuceltec Maya Pronunciation Guide, Alphabet and Phonology",
Chimariko ,Hokan,North America,1,1,1,0,0,0,3,(36) Chimariko grammar: areal and typological perspective,
Chimila,Chibchan,South America,1,1,1,0,0,0,3,,mb nd ŋɡ
Chinantec,Oto-Manguean,North America,1,1,1,0,0,1,4,(PDF) Ojitlan Chinantec Phonology and Morphology,
Chipaya,Uru-Chipaya,South America,1,1,1,0,0,0,3,,
Chitimacha ,Chitimacha,North America,1,1,1,1,1,1,6,Phonologic Formulas for Atakapa-Chitimacha on JSTOR,
Choctaw,Muskogean,North America,1,1,1,1,0,0,4,"Choctaw Pronunciation Guide, Alphabet and Phonology",
Chol,Mayan,North America,1,1,1,1,0,0,4,"Ch'ol Maya Pronunciation Guide, Alphabet and Phonology (Chol)",
Cholón,Hibito-Cholon,South America,1,1,1,0,0,0,3,,
Chontal (Highland),Hokan,North America,1,1,1,1,1,1,6,Highland Chontal Phonemics on JSTOR,not k -- but k'
Chontal (Huamelultec Oaxaca),Hokan,North America,1,1,1,1,1,1,6,Презентация PowerPoint,
Chontal (Maya),Mayan,North America,1,1,1,1,1,0,5,"Chontal Maya Pronunciation Guide, Alphabet and Phonology",
Chorote,Mataco,South America,1,1,1,0,0,0,3,,
Chortí ,Mayan,North America,1,1,1,1,0,0,4,"Chorti Maya Pronunciation Guide, Alphabet and Phonology",
Chuave,Trans New Guinea,Papunesia,0,1,1,1,1,1,5,,
Chuj,Mayan,North America,1,1,1,1,0,0,4,"Chuj Maya Pronunciation Guide, Alphabet and Phonology",
Chumash (Barbareño),Chumash,North America,1,1,1,0,0,0,3,"Barbareño language, alphabet and pronunciation",
Clallam,Salishan,North America,1,1,1,0,0,0,3,Klallam language and alphabet,
Coahuilteco ,Coahuiltecan,North America,1,1,1,0,0,0,3,enwiki-Coahuilteco_language-20200725.pdf,
Cocos Islands Malay,Austronesian,Papunesia,1,0,1,1,1,1,5,,
Coeur d'Alene,Salishan,North America,1,1,0,1,1,0,4,http://ivydoak.com/Coeurd'Alene/grammar/crphon.htm,uvular k and g
Colac,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Comanche,Uto-Aztecan,North America,1,1,1,0,0,0,3,,
Coos (Hanis),Oregon Coast,North America,1,1,1,1,0,1,5,"Coos: An Illustrative Sketch : Frachtenberg, Leo J. : Free Download, Borrow, and Streaming : Internet Archive",
Cora,Oregon Coast,North America,1,1,1,0,0,0,3,Phonemes and Phonemic Units of Cora (Mexico),
Cree,Algic,North America,1,1,1,0,0,0,3,,
Creek,Muskogean,North America,1,1,1,0,0,0,3,Maskoke (Creek)  Language,
Crow,Siouan,North America,1,1,1,0,0,0,3,,
Cubeo,Tucanoan,South America,1,1,1,1,1,0,5,,
Cuiba,Guahiban,South America,1,1,1,1,1,0,5,,
Cuicatec,Oto-Manguean,North America,1,1,1,0,0,0,3,enwiki-Cuicatec_language-20200726.pdf,
Cupeno,Uto-Aztecan,North America,1,1,1,0,0,0,3,,
Curripaco,Arawak,South America,1,1,1,1,1,0,5,,
Cuzco-Collao Quechua,Quechua,South America,1,1,1,0,0,0,3,,
Dení,Arawak,South America,1,1,1,1,1,0,5,,
Dera ,Senagi,Papunesia,1,1,1,1,1,1,6,,"+n̪, t̪, d̪"
Dhalandji,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Dhargari,Pama-Nyungan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Dharumbal,Pama-Nyungan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Dhurga,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Dhuwal (Dätiwuy),Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Djabugay,Pama-Nyungan,Australia,1,1,1,0,0,0,3,not t -- but t̪,
Djambarrpuyngu,Pama-Nyungan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Djapu,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Djeoromitxi,Macro-Ge,North America,1,1,1,0,0,0,3,,
Djinang,Pama-Nyungan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Dyirbal,Pama-Nyungan,Australia,0,0,0,1,1,1,3,,
Eastern Cham,Austronesian,Eurasia,1,1,1,0,0,0,3,,
Ekari,Trans New Guinea,Papunesia,1,1,1,1,1,0,5,,
Emberá,Choco,South America,1,1,1,1,1,0,5,,
Enawené-Nawé,Arawak,South America,0,1,1,0,1,0,3,,
Fasu,Isolate,Papunesia,1,1,1,0,0,0,3,,
Ferreñafe Quechua,Quechua,South America,1,1,1,0,0,0,3,,
Fijian,Austronesian,Papunesia,1,0,1,0,0,0,2,,
Filipino,Austronesian,Papunesia,1,0,1,1,0,1,4,интересный,
Fwâi,Austronesian,Papunesia,1,0,1,0,0,0,2,,
Gaagudju,Isolate,Australia,1,1,1,0,0,0,3,,
Gadsup,Trans New Guinea,Papunesia,1,1,1,0,1,0,4,,
Garrwa,Garrwan,Australia,1,1,1,0,0,0,3,,
Gavião do Pará,Macro-Ge,South America,1,1,1,0,0,0,3,,
Gidabal,Pama-Nyungan,Australia,1,1,1,0,0,0,3,not t -- but t̪,
Gilbertese,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Gooniyandi,Bunaban,Australia,1,1,1,0,0,0,3,,
Guahibo,Guahiban,South America,1,1,1,1,1,0,5,,
Guajá,Tupí,South America,1,1,1,0,0,0,3,,
Guambiano,Barbacoan,South America,1,1,1,0,0,0,3,,
Guarayu,Tupí,South America,1,1,1,0,0,0,3,,mb nd ŋɡ
